("a", [247])
("abbess", [7])
("abbey", [7])
("abbeygate", [1])
("abbeywalls", [1])
("abetting", [1])
("abhor", [1])
("abject", [1])
("able", [1])
("aboard", [5])
("about", [7])
("above", [1])
("absence", [1])
("abused", [1])
("accidentally", [1])
("according", [1])
("accords", [1])
("ache", [1])
("acknowledge", [1])
("acquainted", [2])
("across", [1])
("act", [5])
("adam", [4])
("addition", [1])
("adjudged", [1])
("admit", [1])
("adriana", [88])
("adulterate", [1])
("adventures", [1])
("adverse", [1])
("adversity", [2])
("advised", [1])
("advocate", [1])
("aegeon", [24])
("aemelia", [16])
("aemilia", [5])
("affection", [1])
("affections", [1])
("affords", [1])
("afraid", [1])
("after", [4])
("afternoon", [1])
("afterward", [1])
("again", [17])
("against", [15])
("age", [2])
("agreed", [1])
("agrees", [1])
("ah", [3])
("aid", [1])
("aim", [1])
("air", [2])
("alas", [4])
("albeit", [1])
("alike", [2])
("all", [48])
("alleys", [1])
("alluring", [1])
("almanac", [1])
("almost", [3])
("alone", [4])
("along", [2])
("alterd", [1])
("although", [1])
("always", [2])
("am", [57])
("amain", [1])
("amazed", [1])
("amends", [1])
("america", [1])
("amiss", [1])
("among", [1])
("amount", [2])
("ample", [1])
("an", [34])
("anatomy", [1])
("and", [458])
("angel", [1])
("angelo", [39])
("angels", [2])
("anon", [3])
("another", [6])
("answer", [9])
("answered", [1])
("answerst", [1])
("antipholus", [215])
("antipholuses", [1])
("any", [18])
("apart", [1])
("ape", [1])
("apparel", [1])
("apparently", [1])
("appear", [2])
("apprehended", [1])
("approachd", [1])
("approved", [1])
("aquavitae", [1])
("are", [45])
("arm", [2])
("armadoes", [1])
("armed", [1])
("arose", [1])
("arow", [1])
("arrest", [6])
("arrested", [6])
("arrival", [1])
("arrived", [1])
("art", [22])
("as", [55])
("asia", [1])
("ask", [2])
("askd", [1])
("asked", [1])
("aspect", [2])
("aspects", [1])
("ass", [8])
("assaying", [1])
("assembled", [1])
("assemblies", [1])
("asses", [1])
("assured", [1])
("at", [78])
("attach", [2])
("attachd", [1])
("attaint", [1])
("attend", [3])
("attendant", [1])
("attendants", [1])
("attendantso", [1])
("attended", [1])
("attorney", [1])
("aught", [2])
("austerely", [1])
("avaunt", [1])
("avoid", [2])
("away", [14])
("ay", [17])
("babes", [1])
("back", [6])
("backfriend", [1])
("bad", [2])
("bag", [1])
("baggage", [1])
("bail", [3])
("bait", [1])
("bald", [5])
("ballast", [1])
("balsamum", [1])
("balthazar", [9])
("band", [4])
("bankrupt", [1])
("bare", [1])
("bareheaded", [1])
("bargain", [1])
("bark", [5])
("barrd", [1])
("barren", [1])
("barrenness", [1])
("bassviol", [1])
("bastard", [1])
("basting", [2])
("battering", [1])
("bay", [4])
("be", [83])
("beads", [1])
("beams", [2])
("bear", [21])
("beard", [1])
("bearing", [1])
("bears", [2])
("beast", [3])
("beastly", [1])
("beasts", [2])
("beat", [6])
("beaten", [5])
("beating", [6])
("beauty", [4])
("became", [3])
("because", [6])
("become", [1])
("bed", [8])
("bedtime", [1])
("been", [11])
("befall", [1])
("befalln", [1])
("before", [13])
("beg", [2])
("beggar", [1])
("beggd", [2])
("begin", [1])
("begins", [1])
("beheaded", [1])
("behind", [3])
("behold", [3])
("being", [17])
("belgia", [1])
("believe", [2])
("belike", [2])
("bell", [2])
("beloved", [1])
("bend", [1])
("beneficial", [1])
("benefit", [2])
("bent", [1])
("bereft", [1])
("beseech", [2])
("beseem", [1])
("beshrew", [1])
("beside", [1])
("besides", [8])
("bespeak", [2])
("bespoke", [2])
("best", [4])
("bestow", [2])
("bestowd", [1])
("bestows", [1])
("bestrid", [1])
("betray", [1])
("better", [6])
("between", [4])
("beware", [2])
("beyond", [1])
("bid", [8])
("bides", [1])
("big", [1])
("bind", [8])
("black", [1])
("blame", [2])
("blazed", [1])
("bless", [1])
("blessed", [1])
("blessing", [1])
("blindness", [1])
("bliss", [1])
("blood", [4])
("bloods", [1])
("blot", [1])
("blow", [3])
("blows", [9])
("blue", [1])
("blunt", [1])
("blunts", [1])
("board", [2])
("boat", [1])
("bodied", [1])
("body", [5])
("bogs", [1])
("bond", [2])
("bondman", [3])
("bonds", [2])
("bones", [1])
("bore", [2])
("born", [3])
("borne", [3])
("borrow", [2])
("both", [15])
("bought", [4])
("bound", [15])
("bounds", [1])
("boy", [2])
("boys", [2])
("brags", [1])
("brake", [1])
("branch", [1])
("brands", [1])
("brat", [1])
("brawl", [1])
("brawls", [1])
("breach", [1])
("breadth", [1])
("break", [14])
("breaking", [3])
("breaks", [2])
("breast", [1])
("breath", [6])
("breathed", [1])
("bred", [1])
("bridget", [1])
("bridle", [1])
("bridled", [1])
("brief", [1])
("brier", [1])
("bring", [9])
("bringing", [1])
("brings", [2])
("broke", [3])
("brook", [1])
("brother", [11])
("brought", [7])
("bruised", [1])
("buck", [1])
("buff", [2])
("buffet", [1])
("building", [1])
("buildings", [1])
("burden", [4])
("burdened", [2])
("burdens", [1])
("buried", [1])
("burn", [5])
("burnd", [1])
("burns", [1])
("business", [4])
("but", [113])
("buttocks", [1])
("buttond", [1])
("buy", [7])
("by", [84])
("cake", [1])
("calendars", [1])
("calfs", [1])
("call", [13])
("calld", [5])
("calls", [1])
("callst", [1])
("calm", [1])
("came", [15])
("cameo", [1])
("camest", [2])
("can", [12])
("cannot", [10])
("canst", [1])
("capon", [2])
("caracks", [1])
("carat", [1])
("carbuncles", [1])
("carcanet", [1])
("care", [6])
("careful", [2])
("cares", [1])
("carriage", [1])
("carried", [2])
("carries", [1])
("carved", [1])
("case", [7])
("catch", [1])
("cates", [1])
("cause", [5])
("centaur", [7])
("certain", [3])
("certes", [1])
("chain", [46])
("chaind", [1])
("chalky", [1])
("chance", [1])
("change", [1])
("changed", [4])
("charge", [8])
("charged", [1])
("chargeful", [1])
("chargeth", [1])
("charitable", [1])
("chased", [1])
("chat", [1])
("cheap", [1])
("cheat", [1])
("cheaters", [1])
("cheek", [2])
("cheer", [6])
("cherrystone", [1])
("chid", [1])
("children", [3])
("chin", [1])
("choleric", [2])
("choose", [1])
("churl", [1])
("cicel", [1])
("circes", [1])
("circumstance", [1])
("citizens", [1])
("city", [4])
("claim", [6])
("claims", [2])
("clamours", [1])
("clean", [2])
("clear", [2])
("cliffs", [1])
("clock", [3])
("coasting", [1])
("coil", [1])
("cold", [5])
("coldly", [1])
("come", [48])
("comes", [14])
("comfort", [3])
("comfortless", [1])
("coming", [3])
("command", [2])
("commend", [1])
("commends", [2])
("comment", [1])
("committed", [1])
("commodities", [1])
("common", [4])
("communicate", [1])
("compact", [2])
("companion", [1])
("company", [6])
("compass", [2])
("complain", [2])
("complexion", [1])
("computation", [1])
("conceit", [3])
("conclude", [2])
("conclusion", [2])
("condemned", [1])
("conduits", [1])
("confederate", [1])
("confederates", [2])
("conference", [1])
("confess", [2])
("confirms", [1])
("confiscate", [2])
("confounds", [1])
("confusion", [1])
("conjure", [3])
("conjurer", [3])
("conquers", [1])
("consecrate", [1])
("consent", [2])
("consequence", [1])
("consider", [1])
("consort", [1])
("contagion", [1])
("contaminate", [1])
("contempt", [1])
("content", [2])
("contraries", [1])
("controls", [1])
("controversy", [1])
("converse", [1])
("convey", [1])
("conveyd", [2])
("cools", [1])
("copy", [1])
("cords", [1])
("corinth", [6])
("corruption", [1])
("cost", [1])
("could", [15])
("couldst", [1])
("counter", [1])
("counterfeit", [1])
("countermands", [1])
("countries", [1])
("countrymen", [2])
("course", [3])
("courtezan", [15])
("courtezans", [1])
("coverd", [1])
("covetous", [1])
("coxcomb", [1])
("cozenage", [1])
("crackd", [1])
("crannies", [1])
("crave", [1])
("create", [1])
("creature", [4])
("credit", [4])
("creditor", [1])
("creeks", [1])
("creep", [1])
("cries", [3])
