("", [42])
("a", [5842])
("abandon", [1])
("abandond", [5])
("abandonwhich", [1])
("abashd", [1])
("abate", [4])
("abatement", [2])
("abates", [1])
("abbess", [7])
("abbey", [7])
("abbeygate", [1])
("abbeywalls", [1])
("abbominable", [1])
("abbreviated", [1])
("abed", [3])
("abetting", [1])
("abhominablewhich", [1])
("abhor", [8])
("abhorrd", [5])
("abhorred", [2])
("abhors", [2])
("abhorson", [20])
("abide", [17])
("abides", [2])
("abilities", [1])
("ability", [5])
("abilitys", [1])
("abirding", [4])
("abject", [5])
("abjure", [1])
("abjured", [2])
("able", [14])
("ableeding", [1])
("aboard", [23])
("abode", [3])
("abominable", [7])
("abortive", [1])
("abound", [1])
("about", [147])
("above", [59])
("abraham", [2])
("abram", [2])
("abreast", [1])
("abreeding", [1])
("abrewing", [1])
("abridged", [1])
("abridgement", [1])
("abroad", [18])
("abrogate", [1])
("abruption", [1])
("abruptly", [1])
("absence", [24])
("absent", [14])
("absentand", [1])
("absolute", [10])
("absolutely", [1])
("abstemious", [1])
("abstinence", [3])
("abstract", [1])
("abundance", [3])
("abundant", [1])
("abuse", [11])
("abused", [16])
("abuseif", [1])
("abuses", [4])
("abusing", [1])
("abuts", [1])
("abysm", [1])
("academe", [1])
("academes", [2])
("accent", [5])
("accept", [11])
("acceptance", [2])
("accepted", [2])
("access", [13])
("accessible", [1])
("accidence", [1])
("accident", [12])
("accidental", [1])
("accidentally", [2])
("accidents", [4])
("accommodated", [1])
("accommodations", [1])
("accompany", [2])
("accomplishd", [1])
("accomplished", [5])
("accompt", [2])
("accord", [5])
("accordant", [1])
("according", [15])
("accordingly", [3])
("accords", [1])
("accost", [6])
("accosted", [1])
("accosting", [1])
("account", [10])
("accountant", [1])
("accounted", [3])
("accounts", [1])
("accountst", [1])
("accoutred", [1])
("accoutrement", [1])
("accoutrements", [2])
("accursed", [2])
("accurst", [1])
("accusation", [9])
("accusative", [2])
("accusativo", [1])
("accuse", [14])
("accused", [13])
("accuser", [1])
("accusers", [1])
("accuses", [1])
("accusing", [1])
("accustomd", [1])
("accustomed", [1])
("ace", [1])
("ache", [5])
("aches", [1])
("achieve", [7])
("achieved", [3])
("achievement", [1])
("achievements", [2])
("achiever", [1])
("achilles", [168])
("aching", [2])
("acknowledge", [7])
("acknowledged", [1])
("acoming", [1])
("acorn", [2])
("acquaint", [8])
("acquaintance", [18])
("acquainted", [23])
("acquaints", [1])
("acquired", [1])
("acquisition", [1])
("acquit", [3])
("acquittance", [1])
("acquittances", [1])
("acquitted", [2])
("acre", [2])
("acres", [2])
("across", [3])
("act", [107])
("actaeon", [2])
("acted", [1])
("acting", [2])
("action", [39])
("actions", [14])
("active", [2])
("activity", [1])
("actor", [3])
("actors", [3])
("acts", [5])
("acute", [2])
("ad", [2])
("adam", [31])
("adamant", [1])
("adams", [1])
("add", [17])
("added", [7])
("adder", [2])
("adders", [3])
("addicted", [1])
("adding", [5])
("addition", [5])
("additions", [2])
("addle", [2])
("address", [5])
("addressd", [4])
("addrest", [1])
("adds", [3])
("adhere", [1])
("adheres", [2])
("adieu", [44])
("adieus", [1])
("adjoining", [1])
("adjournd", [1])
("adjudged", [2])
("adjunct", [1])
("admirable", [9])
("admiration", [5])
("admire", [4])
("admired", [5])
("admiring", [2])
("admit", [8])
("admits", [3])
("admittance", [5])
("admitted", [3])
("admonishment", [1])
("admonition", [1])
("ado", [8])
("adonis", [1])
("adopted", [1])
("adoptedly", [1])
("adoption", [2])
("adoration", [1])
("adorations", [1])
("adore", [6])
("adored", [2])
("adorer", [1])
("adores", [1])
("adornd", [1])
("adornment", [2])
("adorns", [1])
("adowna", [1])
("adramadio", [2])
("adrian", [13])
("adriana", [88])
("adriano", [111])
("adriatic", [1])
("adulterate", [1])
("adulteress", [3])
("adulteries", [1])
("adulterous", [1])
("adultery", [4])
("advance", [7])
("advanced", [5])
("advancement", [2])
("advancing", [5])
("advantage", [17])
("advantaged", [1])
("advantageous", [2])
("advantages", [1])
("adventure", [11])
("adventured", [1])
("adventures", [2])
("adventuring", [1])
("adventurous", [2])
("adversaries", [1])
("adversary", [2])
("adverse", [4])
("adversity", [4])
("advertise", [1])
("advertised", [1])
("advertisement", [1])
("advertising", [1])
("advice", [14])
("advise", [18])
("advised", [13])
("advisedly", [1])
("advises", [1])
("advisings", [1])
("advocate", [6])
("advocates", [1])
("aeacides", [1])
("aegeon", [24])
("aemelia", [16])
("aemilia", [5])
("aeneas", [77])
("aeneastake", [1])
("aer", [2])
("aesculapius", [2])
("aeson", [1])
("afar", [3])
("afeard", [15])
("afeardthy", [1])
("afeared", [1])
("afeasting", [1])
("affability", [1])
("affable", [2])
("affair", [4])
("affaire", [1])
("affairs", [18])
("affect", [9])
("affectation", [1])
("affectations", [1])
("affected", [9])
("affecting", [1])
("affection", [43])
("affectionately", [1])
("affectioned", [1])
("affections", [19])
("affects", [4])
("affectst", [1])
("affiance", [1])
("affianced", [2])
("affied", [1])
("affined", [1])
("affirm", [1])
("affirmationhis", [1])
("affirmatives", [1])
("afflict", [4])
("afflicted", [3])
("affliction", [8])
("afflictions", [2])
("afford", [5])
("affords", [4])
("affright", [1])
("affrighted", [1])
("affront", [3])
("affronted", [1])
("afield", [3])
("afire", [1])
("afoot", [3])
("afore", [5])
("aforehand", [1])
("aforesaid", [3])
("aforet", [1])
("afraid", [13])
("afresh", [2])
("afric", [3])
("african", [1])
("after", [147])
("afterdinners", [2])
("aftereye", [1])
("afternoon", [14])
("afternourishment", [1])
("afterward", [5])
("afterwards", [8])
("again", [249])
("against", [156])
("againsti", [1])
("agamemnon", [90])
("agamemnons", [6])
("agate", [2])
("age", [52])
("aged", [7])
("agenor", [1])
("agent", [5])
("ages", [6])
("aggravate", [1])
("agitation", [1])
("agletbaby", [1])
("ago", [12])
("agone", [1])
("agony", [2])
("agree", [6])
("agreed", [7])
("agreeing", [1])
("agreement", [3])
("agrees", [3])
("aground", [1])
("ague", [5])
("aguecheek", [3])
("agueface", [1])
("ah", [28])
("ahold", [2])
("ahooting", [1])
("ahungry", [2])
("aid", [10])
("aided", [1])
("ailest", [1])
("aim", [10])
("aimd", [3])
("aims", [3])
("air", [70])
("aired", [1])
("airs", [4])
("airthe", [1])
("airy", [3])
("ajax", [124])
("alabaster", [1])
("alack", [20])
("alacrity", [2])
("aland", [2])
("alarm", [1])
("alarum", [4])
("alarums", [3])
("alas", [86])
("albeit", [8])
("alce", [1])
("alcides", [3])
("ale", [6])
("alehouse", [2])
("alehouses", [1])
("alencon", [1])
("alencons", [1])
("alevenpence", [1])
("alewife", [1])
("alexander", [14])
("alice", [2])
("alien", [1])
("aliena", [7])
("alighted", [2])
("alike", [15])
("alisander", [5])
("alisanderalas", [1])
("alit", [1])
("alive", [24])
("all", [1266])
("alla", [1])
("allamazed", [1])
("allay", [5])
("allaying", [1])
("allayment", [1])
("allayments", [1])
("allbuilding", [1])
("alldreaded", [1])
("allege", [1])
("allegiance", [6])
("alley", [2])
