("", [11])
("a", [653])
("abandond", [1])
("abatement", [1])
("abbess", [7])
("abbey", [7])
("abbeygate", [1])
("abbeywalls", [1])
("abed", [1])
("abetting", [1])
("abhor", [1])
("abhors", [2])
("ability", [1])
("abject", [1])
("abjured", [1])
("able", [1])
("aboard", [5])
("about", [17])
("above", [7])
("absence", [2])
("absent", [1])
("abuse", [1])
("abused", [5])
("accent", [1])
("access", [1])
("accident", [1])
("accidentally", [1])
("accomplished", [1])
("according", [2])
("accords", [1])
("accost", [6])
("accosted", [1])
("accounted", [1])
("ache", [1])
("achieve", [3])
("acknowledge", [1])
("acquaintance", [4])
("acquainted", [2])
("acquit", [1])
("across", [2])
("act", [13])
("acting", [1])
("action", [2])
("actions", [1])
("adam", [4])
("add", [2])
("addicted", [1])
("addition", [1])
("address", [1])
("adds", [1])
("adheres", [1])
("adieu", [2])
("adjudged", [1])
("admirable", [2])
("admire", [1])
("admit", [3])
("admitted", [1])
("adorations", [1])
("adore", [3])
("adored", [1])
("adores", [1])
("adriana", [88])
("adulterate", [1])
("advanced", [2])
("advantage", [1])
("adventures", [1])
("adverse", [2])
("adversity", [2])
("advise", [1])
("advised", [1])
("advises", [1])
("advocate", [1])
("aegeon", [24])
("aemelia", [16])
("aemilia", [5])
("affair", [1])
("affairs", [2])
("affect", [1])
("affection", [2])
("affectioned", [1])
("affections", [2])
("affirmatives", [1])
("affords", [1])
("afraid", [5])
("after", [18])
("afternoon", [1])
("afterward", [1])
("again", [36])
("against", [23])
("age", [4])
("ago", [4])
("agone", [1])
("agreed", [1])
("agrees", [1])
("aguecheek", [3])
("agueface", [1])
("ah", [6])
("ahungry", [1])
("aid", [2])
("aim", [1])
("air", [7])
("airs", [1])
("alas", [18])
("albeit", [2])
("ale", [1])
("alehouse", [1])
("alike", [3])
("alive", [1])
("all", [98])
("allay", [1])
("alleys", [1])
("alliance", [1])
("allied", [1])
("allow", [3])
("allowed", [2])
("alluring", [1])
("almanac", [1])
("almost", [7])
("alone", [14])
("along", [3])
("aloof", [1])
("aloud", [1])
("alphabetical", [1])
("already", [4])
("also", [1])
("altars", [1])
("alter", [1])
("alterd", [1])
("altered", [2])
("although", [2])
("altogether", [1])
("always", [3])
("am", [144])
("amain", [1])
("amazed", [3])
("amen", [1])
("amend", [2])
("amends", [2])
("america", [1])
("amiss", [2])
("among", [2])
("amount", [2])
("ample", [2])
("an", [89])
("anatomy", [2])
("and", [981])
("andrew", [116])
("angel", [1])
("angelo", [39])
("angels", [2])
("anger", [2])
("anne", [1])
("anon", [7])
("another", [14])
("anotherwho", [1])
("answer", [22])
("answerd", [4])
("answered", [1])
("answerst", [1])
("ant", [2])
("antipholus", [215])
("antipholuses", [1])
("antique", [1])
("antonio", [41])
("any", [48])
("anys", [1])
("apart", [1])
("ape", [1])
("apparel", [1])
("apparently", [1])
("appear", [6])
("appeared", [1])
("appears", [1])
("appetite", [3])
("apple", [2])
("applies", [1])
("apprehend", [1])
("apprehended", [2])
("approach", [4])
("approachd", [1])
("approaches", [1])
("approbation", [1])
("approve", [1])
("approved", [1])
("apt", [6])
("aptly", [1])
("aquavitae", [2])
("arbitrement", [1])
("are", [129])
("argument", [2])
("arguments", [3])
("arion", [1])
("arm", [2])
("armadoes", [1])
("armed", [1])
("arose", [1])
("arow", [1])
("arrest", [7])
("arrested", [6])
("arrival", [1])
("arrived", [2])
("art", [47])
("arts", [1])
("as", [201])
("asia", [1])
("aside", [5])
("ask", [6])
("askd", [1])
("asked", [1])
("asking", [1])
("asleep", [1])
("aspect", [3])
("aspects", [1])
("ass", [16])
("assail", [1])
("assailant", [1])
("assaying", [1])
("assembled", [1])
("assemblies", [1])
("asses", [2])
("asshead", [1])
("assume", [1])
("assurance", [3])
("assure", [4])
("assured", [1])
("at", [136])
("attach", [2])
("attachd", [1])
("attaint", [1])
("attempt", [1])
("attend", [6])
("attendance", [1])
("attendant", [1])
("attendants", [6])
("attendantso", [1])
("attended", [2])
("attending", [1])
("attends", [2])
("attested", [1])
("attire", [2])
("attorney", [1])
("attracts", [1])
("audience", [1])
("aught", [3])
("augmentation", [1])
("aussi", [1])
("austere", [1])
("austerely", [1])
("authority", [1])
("authors", [2])
("avaunt", [1])
("avoid", [3])
("awake", [3])
("away", [37])
("ay", [43])
("babble", [1])
("babbling", [2])
("babes", [1])
("babylon", [1])
("bachelor", [1])
("back", [10])
("backfriend", [1])
("backtrick", [1])
("bad", [5])
("bade", [5])
("baffle", [1])
("baffled", [1])
("bag", [1])
("baggage", [1])
("bail", [3])
("bait", [1])
("baited", [1])
("bald", [5])
("balked", [1])
("ballast", [1])
("balsamum", [1])
("balthazar", [9])
("band", [4])
("banged", [1])
("banishd", [1])
("bank", [1])
("bankrupt", [1])
("bar", [1])
("barbarous", [1])
("bare", [1])
("bareheaded", [1])
("barful", [1])
("bargain", [1])
("bark", [5])
("barrd", [1])
("barren", [4])
("barrenness", [1])
("barricadoes", [1])
("base", [1])
("baseness", [1])
("basis", [1])
("bassviol", [1])
("bastard", [1])
("basting", [2])
("battering", [1])
("battery", [1])
("bawbling", [1])
("bawcock", [1])
("bay", [5])
("be", [288])
("beads", [1])
("beagle", [1])
("beams", [2])
("bear", [29])
("bearbaiting", [2])
("beard", [6])
("bearing", [3])
("bears", [4])
("beast", [3])
("beastly", [1])
("beasts", [2])
("beat", [9])
("beaten", [5])
("beating", [7])
("beauteous", [2])
("beauties", [1])
("beautiful", [2])
("beauty", [8])
("beautyi", [1])
("beautys", [1])
("became", [3])
("because", [9])
("become", [8])
("becomes", [1])
("bed", [19])
("beds", [2])
("bedtime", [1])
("beef", [1])
("been", [27])
("befall", [2])
("befalln", [1])
("befalls", [1])
("before", [32])
("beg", [2])
("began", [1])
("beggar", [5])
("beggd", [3])
("begged", [1])
("begging", [1])
("begin", [4])
("begins", [3])
("beguile", [2])
("beguiled", [1])
("begun", [1])
("behalf", [1])
("behavior", [3])
("beheaded", [1])
("behind", [8])
("behold", [4])
("being", [29])
("belch", [171])
("belgia", [1])
("belie", [1])
("belief", [1])
("believe", [12])
("believes", [1])
("believing", [1])
("belike", [4])
("bell", [2])
("bells", [1])
("belong", [1])
("beloved", [3])
("belzebub", [1])
("bench", [1])
("bend", [1])
("beneath", [1])
("beneficial", [1])
("benefit", [3])
("bennet", [1])
("bent", [2])
("bereft", [1])
("beseech", [6])
("beseem", [1])
("beset", [1])
("beshrew", [3])
("beside", [1])
("besides", [14])
("besmeard", [1])
("bespeak", [3])
("bespoke", [3])
("best", [12])
("bestow", [4])
("bestowd", [2])
("bestowed", [2])
("bestows", [1])
("bestrid", [1])
("betake", [2])
("bethink", [1])
("bethought", [1])
("betimes", [2])
("betray", [2])
("betrothd", [1])
("better", [25])
("betters", [1])
("between", [12])
("beware", [2])
("bewitched", [1])
("beyond", [1])
("bias", [1])
("bibble", [1])
("bid", [14])
("bidding", [1])
("biddy", [1])
("bide", [3])
("bides", [1])
("big", [3])
("bigger", [1])
("bind", [9])
("bird", [1])
("birdbolts", [1])
("birth", [2])
("blabs", [1])
("black", [5])
("blame", [3])
