("", [30])
("a", [3552])
("abandon", [1])
("abandond", [5])
("abandonwhich", [1])
("abashd", [1])
("abate", [2])
("abatement", [2])
("abates", [1])
("abbess", [7])
("abbey", [7])
("abbeygate", [1])
("abbeywalls", [1])
("abed", [3])
("abetting", [1])
("abhor", [3])
("abhorrd", [4])
("abhorred", [2])
("abhors", [2])
("abide", [9])
("abilities", [1])
("ability", [4])
("abject", [4])
("abjure", [1])
("abjured", [2])
("able", [7])
("aboard", [22])
("abode", [2])
("abominable", [5])
("abound", [1])
("about", [80])
("above", [41])
("abreast", [1])
("abridgement", [1])
("abroad", [11])
("abruption", [1])
("abruptly", [1])
("absence", [15])
("absent", [7])
("absolute", [6])
("abstemious", [1])
("abundance", [2])
("abundant", [1])
("abuse", [6])
("abused", [12])
("abuseif", [1])
("abuses", [2])
("abuts", [1])
("abysm", [1])
("accent", [3])
("accept", [9])
("acceptance", [1])
("accepted", [1])
("access", [11])
("accessible", [1])
("accident", [9])
("accidentally", [1])
("accidents", [4])
("accommodated", [1])
("accompany", [2])
("accomplishd", [1])
("accomplished", [4])
("accord", [5])
("according", [8])
("accordingly", [1])
("accords", [1])
("accost", [6])
("accosted", [1])
("accosting", [1])
("account", [5])
("accounted", [1])
("accounts", [1])
("accountst", [1])
("accoutrements", [2])
("accursed", [2])
("accusation", [3])
("accuse", [6])
("accused", [3])
("accuser", [1])
("accustomd", [1])
("ace", [1])
("ache", [3])
("aches", [1])
("achieve", [7])
("achieved", [2])
("achievement", [1])
("achievements", [2])
("achilles", [167])
("aching", [2])
("acknowledge", [4])
("acknowledged", [1])
("acorn", [2])
("acquaint", [5])
("acquaintance", [12])
("acquainted", [10])
("acquaints", [1])
("acquired", [1])
("acquisition", [1])
("acquit", [2])
("acquittance", [1])
("acre", [2])
("acres", [2])
("across", [3])
("act", [70])
("acted", [1])
("acting", [1])
("action", [28])
("actions", [13])
("active", [1])
("activity", [1])
("actor", [1])
("actors", [2])
("acts", [5])
("ad", [1])
("adam", [27])
("adamant", [1])
("add", [12])
("added", [5])
("adder", [2])
("adders", [3])
("addicted", [1])
("addition", [4])
("additions", [1])
("addle", [2])
("address", [4])
("addressd", [2])
("adds", [2])
("adheres", [2])
("adieu", [17])
("adjoining", [1])
("adjournd", [1])
("adjudged", [1])
("admirable", [6])
("admiration", [5])
("admire", [3])
("admired", [4])
("admiring", [2])
("admit", [4])
("admits", [2])
("admittance", [2])
("admitted", [1])
("admonishment", [1])
("ado", [6])
("adonis", [1])
("adopted", [1])
("adoption", [1])
("adoration", [1])
("adorations", [1])
("adore", [5])
("adored", [2])
("adorer", [1])
("adores", [1])
("adornd", [1])
("adornment", [2])
("adorns", [1])
("adrian", [13])
("adriana", [88])
("adriatic", [1])
("adulterate", [1])
("adulteress", [3])
("adulteries", [1])
("adultery", [3])
("advance", [3])
("advanced", [5])
("advancement", [2])
("advancing", [2])
("advantage", [11])
("advantageous", [2])
("adventure", [11])
("adventured", [1])
("adventures", [2])
("adventurous", [2])
("adversaries", [1])
("adverse", [2])
("adversity", [4])
("advertised", [1])
("advice", [8])
("advise", [11])
("advised", [5])
("advises", [1])
("advocate", [6])
("advocates", [1])
("aeacides", [1])
("aegeon", [24])
("aemelia", [16])
("aemilia", [5])
("aeneas", [77])
("aeneastake", [1])
("aer", [2])
("aesculapius", [1])
("afar", [1])
("afeard", [10])
("afeardthy", [1])
("affability", [1])
("affable", [2])
("affair", [3])
("affairs", [13])
("affect", [4])
("affected", [4])
("affection", [18])
("affectionately", [1])
("affectioned", [1])
("affections", [11])
("affects", [1])
("affectst", [1])
("affiance", [1])
("affied", [1])
("affined", [1])
("affirm", [1])
("affirmationhis", [1])
("affirmatives", [1])
("afflict", [3])
("afflicted", [1])
("affliction", [6])
("afflictions", [2])
("afford", [1])
("affords", [4])
("affright", [1])
("affrighted", [1])
("affront", [3])
("affronted", [1])
("afield", [3])
("afire", [1])
("afoot", [1])
("afore", [4])
("aforesaid", [1])
("aforet", [1])
("afraid", [10])
("afresh", [2])
("afric", [3])
("african", [1])
("after", [101])
("afterdinners", [1])
("aftereye", [1])
("afternoon", [4])
("afternourishment", [1])
("afterward", [2])
("afterwards", [3])
("again", [175])
("against", [90])
("againsti", [1])
("agamemnon", [90])
("agamemnons", [6])
("age", [36])
("aged", [4])
("agenor", [1])
("agent", [3])
("ages", [4])
("agletbaby", [1])
("ago", [11])
("agone", [1])
("agree", [3])
("agreed", [4])
("agreement", [3])
("agrees", [2])
("aground", [1])
("ague", [4])
("aguecheek", [3])
("agueface", [1])
("ah", [17])
("ahold", [2])
("ahungry", [1])
("aid", [9])
("aided", [1])
("ailest", [1])
("aim", [4])
("aimd", [3])
("aims", [2])
("air", [55])
("aired", [1])
("airs", [4])
("airthe", [1])
("airy", [2])
("ajax", [122])
("alack", [13])
("alacrity", [1])
("aland", [2])
("alarm", [1])
("alarum", [4])
("alarums", [3])
("alas", [55])
("albeit", [6])
("alce", [1])
("alcides", [1])
("ale", [6])
("alehouse", [2])
("alewife", [1])
("alexander", [11])
("aliena", [7])
("alighted", [1])
("alike", [12])
("alit", [1])
("alive", [18])
("all", [849])
("alla", [1])
("allamazed", [1])
("allay", [3])
("allaying", [1])
("allayment", [1])
("allayments", [1])
("alldreaded", [1])
("allege", [1])
("allegiance", [2])
("alleys", [1])
("alliance", [2])
("allied", [2])
("allies", [1])
("allot", [1])
("allottery", [1])
("allow", [7])
("allowance", [2])
("allowd", [3])
("allowed", [3])
("allowing", [2])
("allows", [1])
("alls", [8])
("allto", [1])
("allure", [2])
("allured", [1])
("alluring", [1])
("allworthy", [2])
("almanac", [1])
("almighty", [1])
("almond", [1])
("almost", [44])
("alms", [3])
("aloft", [2])
("alone", [46])
("along", [21])
("alonso", [49])
("aloof", [2])
("aloud", [6])
("alphabetical", [1])
("already", [23])
("also", [4])
("altar", [4])
("altars", [3])
("alter", [3])
("alteration", [2])
("alterd", [5])
("altered", [2])
("altering", [1])
("alters", [1])
("although", [20])
("altogether", [6])
("always", [9])
("am", [574])
("amain", [3])
("amaze", [2])
("amazed", [7])
("amazedly", [2])
("amazedness", [1])
("amazement", [7])
("ambassador", [2])
("ambassadors", [1])
("amber", [2])
("ambition", [8])
("ambitions", [1])
("ambitious", [2])
("ambles", [3])
("ambush", [1])
("amen", [16])
("amend", [6])
("amending", [1])
("amendment", [1])
("amends", [6])
("america", [1])
("amiable", [1])
("amid", [1])
("amidst", [1])
("amiens", [16])
("amiss", [6])
("amity", [2])
("among", [19])
("amongst", [12])
("amorous", [7])
("amort", [1])
("amount", [2])
("amounts", [1])
("amphimachus", [1])
("ample", [5])
("ampler", [1])
("amplify", [1])
("amply", [2])
("an", [397])
("anatomize", [1])
("anatomized", [1])
("anatomy", [2])
("ancestor", [1])
("ancestors", [3])
("ancestry", [1])
("anchises", [1])
("anchor", [2])
("anchors", [2])
("ancient", [12])
("ancientry", [1])
("ancientst", [1])
("and", [5604])
("anddo", [1])
("andhow", [1])
("andin", [1])
("andirons", [1])
("andrew", [116])
("andromache", [11])
("ands", [1])
("andwhich", [1])
("andyonder", [1])
("angel", [5])
("angellike", [1])
("angelo", [39])
("angels", [8])
("anger", [16])
("angerd", [1])
("angle", [3])
("angled", [1])
("angling", [1])
("angry", [29])
("anight", [1])
("animal", [1])
("animals", [2])
("anna", [1])
("anne", [2])
("annoy", [1])
("annoyance", [1])
("annoyd", [1])
("annual", [2])
("anointed", [1])
("anon", [25])
("anoneven", [1])
("another", [107])
("anothers", [5])
("anotherwho", [1])
("answer", [77])
("answerable", [1])
("answerd", [11])
("answered", [3])
("answering", [5])
("answers", [6])
("answerst", [2])
("ant", [11])
("antechamber", [3])
("antenor", [15])
("antenorides", [1])
("antic", [1])
("anticipating", [1])
("antics", [1])
("antigonus", [28])
("antioch", [10])
("antiochus", [29])
("antiochuson", [1])
("antipholus", [215])
("antipholuses", [1])
("antiquary", [1])
("antique", [3])
("antiquity", [1])
("antiquius", [1])
("antonio", [113])
("antonios", [2])
("any", [218])
("anys", [1])
("anything", [1])
("apace", [6])
("apart", [8])
("apartments", [1])
("ape", [4])
("apebearer", [1])
("apes", [5])
("apex", [1])
("apish", [1])
("apollo", [14])
("apollos", [6])
("appalled", [1])
("appals", [1])
("apparel", [16])
("apparelld", [2])
("apparent", [3])
("apparently", [1])
("apparition", [2])
("apparitions", [2])
("appeal", [2])
("appear", [26])
("appeard", [3])
("appeared", [4])
("appearer", [1])
("appearing", [2])
("appears", [10])
("appease", [1])
("appeased", [1])
("appendix", [1])
("appertaining", [1])
("appertainments", [1])
("appetite", [10])
("appetites", [1])
("applaud", [1])
("applause", [6])
("apple", [4])
("apples", [1])
("appletart", [1])
("appliance", [1])
("applies", [1])
("apply", [5])
("appoint", [1])
("appointed", [7])
("appointment", [1])
("apprehend", [4])
("apprehended", [3])
("apprehension", [1])
("apprehensions", [1])
("approach", [16])
("approachd", [3])
("approaches", [1])
("approaching", [1])
("approbation", [6])
("approve", [5])
("approved", [4])
("approvers", [1])
("appurtenances", [1])
("april", [4])
("aprils", [1])
("apron", [1])
("apt", [9])
("apter", [1])
("aptly", [3])
("aptness", [1])
("aquavitae", [3])
("aquilon", [1])
("arabia", [1])
("arabian", [1])
("arbitrator", [1])
("arbitrement", [2])
("arch", [3])
("archd", [1])
("archer", [1])
("archidamus", [8])
("arden", [6])
("ardour", [1])
("are", [819])
("arehere", [1])
("areo", [1])
("arethese", [1])
("argentine", [1])
("argier", [2])
("argosies", [1])
("argosy", [2])
("arguing", [1])
("argument", [16])
("arguments", [3])
("argus", [1])
("ariachnes", [1])
("ariel", [89])
("ariels", [1])
("arion", [1])
("arise", [10])
("aristotle", [1])
("aristotles", [1])
("arithmetic", [3])
("ark", [1])
("arm", [23])
("armadoes", [1])
("armd", [7])
("armed", [10])
("armies", [1])
("arming", [3])
("armour", [6])
("armourer", [1])
("armours", [2])
("arms", [40])
("army", [9])
("arose", [1])
("arow", [1])
("arraign", [1])
("arraigned", [1])
("arras", [2])
("array", [4])
("arrearages", [1])
("arrest", [7])
("arrested", [6])
("arrival", [3])
("arrive", [2])
("arrived", [11])
("arrogance", [3])
("arrogant", [1])
("arrow", [1])
("arrows", [3])
("art", [219])
("article", [2])
("articles", [1])
("artificial", [1])
("artillery", [1])
("artist", [2])
("arts", [6])
("arviragus", [62])
("as", [1489])
("ascends", [1])
("ascension", [1])
("ascribe", [1])
("ashamed", [6])
("ashes", [1])
("ashore", [8])
("asia", [1])
("aside", [114])
("ask", [38])
("askance", [1])
("askd", [3])
("askdtwas", [1])
("asked", [3])
("asketh", [1])
("asking", [3])
("asks", [3])
("askst", [1])
("askwherefore", [1])
("asleep", [12])
("aspect", [5])
("aspects", [2])
("aspersion", [1])
("aspiration", [1])
("aspire", [1])
("ass", [30])
("assail", [2])
("assailant", [1])
("assailants", [1])
("assaild", [1])
("assailed", [1])
("assault", [3])
("assaults", [2])
("assayd", [1])
("assaying", [1])
("assembled", [1])
("assemblies", [1])
("assembly", [2])
("asses", [4])
("asshead", [1])
("assignd", [1])
("assinego", [1])
("assist", [5])
("assisted", [2])
("assisting", [1])
("assubjugate", [1])
("assume", [3])
("assumed", [1])
("assumes", [1])
("assuming", [1])
("assurance", [14])
("assure", [16])
("assured", [8])
("assuredly", [1])
("astronomer", [1])
("astronomers", [1])
("asunder", [1])
("at", [618])
("atalantas", [2])
("athenian", [1])
("athens", [1])
("athwart", [2])
("atomies", [2])
("atone", [2])
("ats", [1])
("attach", [3])
("attachd", [3])
("attachment", [1])
("attain", [1])
("attaint", [2])
("attempt", [8])
("attemptable", [1])
("attend", [31])
("attendance", [2])
("attendant", [5])
("attendants", [34])
("attendantso", [1])
("attended", [8])
("attending", [9])
("attends", [7])
("attendst", [1])
("attent", [1])
("attention", [1])
("attentive", [2])
("attentiveness", [1])
("attest", [2])
("attested", [1])
("attire", [5])
("attired", [2])
("attorney", [2])
("attorneyed", [1])
("attractions", [1])
("attracts", [1])
("attribute", [2])
